"idx","location","qn","case_num","case_array","feedback","qn_move"
"68839","sw01_u04_p02","1","12","#sentence_1# #positive_emotion#/#positive_emotion#","/%sound_greeting-027-r1-positive/","2"
"68840","sw01_u04_p02","1","13","#sentence_1# #negative_emotion#/#negative_emotion#","/%sound_greeting-028-r1-negative/","2"
"68841","sw01_u04_p02","2","0","incorrect/try again","Please answer, Yes or No.","-7777"
"68842","sw01_u04_p02","2","1","incorrect/no more chance"," ","3"
"68843","sw01_u04_p02","2","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","3"
"68844","sw01_u04_p02","2","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","Then let's begin!","4"
"68845","sw01_u04_p02","3","0","incorrect/try again","Please answer, Yes or No.","-7777"
"68846","sw01_u04_p02","3","1","incorrect/no more chance"," ","4"
"68847","sw01_u04_p02","3","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep","Then let's begin!","4"
"68848","sw01_u04_p02","3","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","Then let's listen to the example again.","3"
"68849","sw01_u04_p02","4","0","incorrect/try again","/%fb_retryfeedback_1/","-7777"
"68850","sw01_u04_p02","4","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","7"
"68851","sw01_u04_p02","4","2","basement kitchen yard","/%fb_correctfeedback_1/","7"
"68852","sw01_u04_p02","5","0","incorrect/try again","/%fb_retryfeedback_1/","-7777"
"68853","sw01_u04_p02","5","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","7"
"68854","sw01_u04_p02","5","2","bathroom bedroom living room","/%fb_correctfeedback_1/","7"
"68855","sw01_u04_p02","6","0","incorrect/try again","/%fb_retryfeedback_1/","-7777"
"68856","sw01_u04_p02","6","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","7"
"68857","sw01_u04_p02","6","2","yard bedroom kitchen","/%fb_correctfeedback_1/","7"
"68858","sw01_u04_p02","7","0","incorrect/try again","/%fb_retryfeedback_1/","-7777"
"68859","sw01_u04_p02","7","1","incorrect/no more chance","/%fb_incorrect_aec_fb1/","8"
"68860","sw01_u04_p02","7","2","living room bathroom basement","/%fb_correct_aec_fb1/","8"
"68861","sw01_u04_p02","8","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"68862","sw01_u04_p02","8","1","incorrect/no more chance"," ","9"
"68863","sw01_u04_p02","8","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","9"
"68864","sw01_u04_p02","8","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks"," ","10"
"68865","sw01_u04_p02","9","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"68866","sw01_u04_p02","9","1","incorrect/no more chance"," ","11"
"68867","sw01_u04_p02","9","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","11"
"68868","sw01_u04_p02","9","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-071-then-lets-begin/","12/20"
"68869","sw01_u04_p02","10","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"68870","sw01_u04_p02","10","1","incorrect/no more chance"," ","11"
"68871","sw01_u04_p02","10","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","11"
"68872","sw01_u04_p02","10","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-071-then-lets-begin/","12/20"
"68873","sw01_u04_p02","11","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"68874","sw01_u04_p02","11","1","incorrect/no more chance"," ","12/20"
"68875","sw01_u04_p02","11","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep","/%sound_common-071-then-lets-begin/","12/20"
"68876","sw01_u04_p02","11","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-074-then-lets-listen-to-the-ex-again/","11"
"68877","sw01_u04_p02","12","0","incorrect/try again"," ","-7777"
"68878","sw01_u04_p02","12","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","16"
"68879","sw01_u04_p02","12","2","yard/yard yard yard","/%fb_correctfeedback_1/","13"
"68880","sw01_u04_p02","13","0","incorrect/try again"," ","-7777"
"68881","sw01_u04_p02","13","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","17"
"68882","sw01_u04_p02","13","2","bedroom/bedroom bedroom","/%fb_correctfeedback_1/","14"
"68883","sw01_u04_p02","14","0","incorrect/try again"," ","-7777"
"68884","sw01_u04_p02","14","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","19"
"68885","sw01_u04_p02","14","2","bathroom","/%fb_correctfeedback_1/","15"
"68886","sw01_u04_p02","15","0","incorrect/try again"," ","-7777"
"68887","sw01_u04_p02","15","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","19"
"68888","sw01_u04_p02","15","2","living room","/%fb_correctfeedback_1/","28"
"68889","sw01_u04_p02","16","0","incorrect/try again"," ","-7777"
"68890","sw01_u04_p02","16","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","17"
"68891","sw01_u04_p02","16","2","kitchen/kitchen kitchen kitchen","/%fb_correctfeedback_1/","13"
"68892","sw01_u04_p02","17","0","incorrect/try again"," ","-7777"
"68893","sw01_u04_p02","17","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","18"
"68894","sw01_u04_p02","17","2","basement/basement basement","/%fb_correctfeedback_1/","14"
"68895","sw01_u04_p02","18","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"68896","sw01_u04_p02","18","1","incorrect/no more chance"," ","19"
"68897","sw01_u04_p02","18","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep","/%sound_common-071-then-lets-begin/","19"
"68898","sw01_u04_p02","18","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-074-then-lets-listen-to-the-ex-again/","-7777"
"68899","sw01_u04_p02","19","0","incorrect/try again"," ","-7777"
"68900","sw01_u04_p02","19","1","incorrect/no more chance","/%fb_incorrect_aec_fb1/","28"
"68901","sw01_u04_p02","19","2","yard/yard yard","/%fb_correct_aec_fb1/","28"
"68902","sw01_u04_p02","20","0","incorrect/try again"," ","-7777"
"68903","sw01_u04_p02","20","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","24"
"68904","sw01_u04_p02","20","2","kitchen/kitchen kitchen kitchen","/%fb_correctfeedback_1/","21"
"68905","sw01_u04_p02","21","0","incorrect/try again"," ","-7777"
"68906","sw01_u04_p02","21","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","25"
"68907","sw01_u04_p02","21","2","living room/living room living room","/%fb_correctfeedback_1/","22"
